,Id,Cantidad_Victimas,Fecha,Anio,Mes,Dia,Hora,Franja_Horaria,Lugar_Hecho,Tipo_Calle,Calle,Altura,Barrio,Coordenada x,Coordenada y,Participantes,Victima,Acusado,Hora del día,Dia_Semana,Tipo_Dia
158,20170021,1,2017-02-18,2017,2,18,05:30:00,Madrugada,SARMIENTO Y LIBERTAD,CALLE,SARMIENTO,cruce_de_calles,1,-58.38362373,-34.60509972,MOTO-PASAJEROS,MOTO,PASAJEROS,5,Saturday,Fin_de_Semana
159,20170024,1,2017-02-23,2017,2,23,20:50:00,Noche,AV. RIVADAVIA 7121,AVENIDA,RIVADAVIA AV.,7121.0,7,-58.46589308,-34.62955795,PEATON-PASAJEROS,PEATON,PASAJEROS,20,Thursday,Dia_de_Semana
160,20170025,1,2017-02-24,2017,2,24,17:05:00,Tarde,AV. FERNANDEZ DE LA CRUZ Y RIVERA INDARTE,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",cruce_de_calles,7,-58.43614426,-34.65424640,MOTO-SD,MOTO,SD,17,Friday,Dia_de_Semana
162,20170027,1,2017-02-26,2017,2,26,21:57:00,Noche,AV. CASEROS 1429,AVENIDA,CASEROS AV.,1429.0,1,-58.38332245,-34.63193250,PEATON-AUTO,PEATON,AUTO,21,Sunday,Fin_de_Semana
161,20170026,2,2017-02-26,2017,2,26,05:15:00,Madrugada,AV. PERITO MORENO Y FOURNIER,AVENIDA,"MORENO, PERITO AV.",cruce_de_calles,4,-58.41842777,-34.64979057,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,5,Sunday,Fin_de_Semana
163,20170028,1,2017-02-28,2017,2,28,09:20:00,Mañana,AV. GAONA Y FRAGATA SARMIENTO,AVENIDA,GAONA AV.,cruce_de_calles,6,-58.45475488,-34.61196327,PEATON-AUTO,PEATON,AUTO,9,Tuesday,Dia_de_Semana
164,20170029,1,2017-03-07,2017,3,7,02:15:00,Madrugada,MOZART Y TANDIL,CALLE,MOZART,cruce_de_calles,9,-58.48501341,-34.64742455,SD-AUTO,SD,AUTO,2,Tuesday,Dia_de_Semana
165,20170030,1,2017-03-07,2017,3,7,08:00:00,Mañana,MOZART Y COLECTORA AV. TTE. LUIS J DELLEPIANE,AVENIDA,MOZART,cruce_de_calles,9,-58.47010988,-34.65872088,AUTO-PASAJEROS,AUTO,PASAJEROS,8,Tuesday,Dia_de_Semana
166,20170031,1,2017-03-11,2017,3,11,01:30:00,Madrugada,24 DE NOVIEMBRE Y PAVON ,CALLE,24 DE NOVIEMBRE,cruce_de_calles,3,-58.40997560,-34.62873635,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,1,Saturday,Fin_de_Semana
167,20170032,1,2017-03-12,2017,3,12,05:00:00,Madrugada,AV. GRAL. PAZ Y PEDRO DE MENDOZA,AVENIDA,"PAZ, GRAL. AV.",cruce_de_calles,8,-58.48892175,-34.68359163,AUTO-AUTO,AUTO,AUTO,5,Sunday,Fin_de_Semana
